ID,ID_Measure,MeasureDate,ID_Item,BallsName,MillName,Gross,Tare,Net,Operator,Field1
8991,1,1/13/2017,13,ф 90 stomana,1,3370,0,3370,Христо,
8992,2,1/13/2017,23,ф 90 stomana,2,2820,0,2820,Христо,
8993,3,1/13/2017,32,ф 90 cheshki,3,3170,0,3170,Николай,
8994,4,1/13/2017,62,ф 90 cheshki,6,2880,0,2880,Николай,
8995,5,1/13/2017,43,ф 90 stomana,4,3010,0,3010,Николай,
8996,6,1/13/2017,73,ф 90 stomana,7,3260,0,3260,Николай,
8997,7,1/13/2017,83,ф 90 stomana,8,3040,0,3040,Николай,
8998,8,1/13/2017,51,ф 90 polski,5,3080,0,3080,Николай,
8999,1,1/14/2017,101,ф 90 polski,10,3120,0,3120,Александър,
9001,1,1/14/2017,32,ф 90 cheshki,3,3210,0,3210,Николай,
9002,2,1/14/2017,51,ф 90 polski,5,3110,0,3110,Николай,
9003,1,1/14/2017,62,ф 90 cheshki,6,3250,0,3250,Николай,
9004,2,1/14/2017,13,ф 90 stomana,1,3240,0,3240,Николай,
9005,3,1/14/2017,23,ф 90 stomana,2,3180,0,3180,Николай,
9006,1,1/14/2017,43,ф 90 stomana,4,3190,0,3190,Николай,
9007,2,1/14/2017,73,ф 90 stomana,7,2980,0,2980,Николай,
9008,1,1/14/2017,83,ф 90 stomana,8,3430,0,3430,михаил,
9009,2,1/14/2017,101,ф 90 polski,10,3080,0,3080,михаил,
9010,1,1/14/2017,111,ф 90 polski,11,3090,0,3090,михаил,
9011,1,1/15/2017,13,ф 90 stomana,1,2990,0,2990,Петко,
9012,2,1/15/2017,23,ф 90 stomana,2,3120,0,3120,Петко,
9013,3,1/15/2017,43,ф 90 stomana,4,3110,0,3110,Петко,
9014,4,1/15/2017,73,ф 90 stomana,7,3060,0,3060,Петко,
9015,5,1/15/2017,83,ф 90 stomana,8,3210,0,3210,Петко,
9016,6,1/15/2017,32,ф 90 cheshki,3,3170,0,3170,Петко,
9017,7,1/15/2017,62,ф 90 cheshki,6,2990,0,2990,Петко,
9018,8,1/15/2017,51,ф 90 polski,5,3050,0,3050,Петко,
9019,9,1/15/2017,101,ф 90 polski,10,3060,0,3060,Петко,
9020,10,1/17/2017,16,ф 80 stomana,1,3100,0,3100,Цветомир,
9021,11,1/17/2017,76,ф 80 stomana,7,3100,0,3100,Цветомир,
9022,12,1/17/2017,86,ф 80 stomana,8,3040,0,3040,Цветомир,
9023,13,1/17/2017,65,ф 80 cheshki,6,3000,0,3000,Цветомир,
9024,14,1/17/2017,35,ф 80 cheshki,3,3000,0,3000,Цветомир,
9025,15,1/17/2017,26,ф 80 stomana,2,3100,0,3100,Цветомир,
9026,1,1/17/2017,54,ф 80 polski,5,3150,0,3150,Цветомир,
9027,2,1/17/2017,114,ф 80 polski,11,3100,0,3100,Цветомир,
9028,3,1/17/2017,104,ф 80 polski,10,3150,0,3150,Цветомир,
9029,1,1/17/2017,43,ф 90 stomana,4,5400,0,5400,Цветомир,
9030,2,1/17/2017,13,ф 90 stomana,1,3280,0,3280,Цветомир,
9031,3,1/17/2017,23,ф 90 stomana,2,3010,0,3010,Цветомир,
9032,4,1/17/2017,32,ф 90 cheshki,3,3140,0,3140,Цветомир,
9033,1,1/18/2017,51,ф 90 polski,5,3090,0,3090,Валентин,
9034,2,1/18/2017,101,ф 90 polski,10,3110,0,3110,Валентин,
9035,3,1/18/2017,62,ф 90 cheshki,6,3600,0,3600,Валентин,
9036,1,1/18/2017,73,ф 90 stomana,7,3270,0,3270,Валентин,
9037,2,1/18/2017,83,ф 90 stomana,8,3200,0,3200,Валентин,
9038,3,1/18/2017,111,ф 90 polski,11,3110,0,3110,Валентин,
9039,1,1/18/2017,13,ф 90 stomana,1,3230,0,3230,Красимир,
9040,2,1/18/2017,23,ф 90 stomana,2,3220,0,3220,Красимир,
9041,3,1/18/2017,43,ф 90 stomana,4,3140,0,3140,Красимир,
9042,4,1/18/2017,73,ф 90 stomana,7,3160,0,3160,Красимир,
9043,5,1/18/2017,83,ф 90 stomana,8,3110,0,3110,Красимир,
9044,1,1/18/2017,32,ф 90 cheshki,3,3020,0,3020,Красимир,
9045,2,1/18/2017,62,ф 90 cheshki,6,3000,0,3000,Красимир,
9046,3,1/18/2017,51,ф 90 polski,5,3080,0,3080,Красимир,
9047,4,1/18/2017,101,ф 90 polski,10,3080,0,3080,Красимир,
9048,1,1/19/2017,3,ф 30 ukraina,22,3030,0,3030,Иван,
9049,2,1/19/2017,1,ф 70 stomanaD,21,2040,0,2040,Иван,
9050,1,1/19/2017,91,ф 90 polski,9,3090,0,3090,Стойчо,
9051,2,1/19/2017,101,ф 90 polski,10,3120,0,3120,Стойчо,
9052,3,1/19/2017,51,ф 90 polski,5,3100,0,3100,Стойчо,
9053,1,1/19/2017,13,ф 90 stomana,1,3040,0,3040,Стойчо,
9054,2,1/19/2017,23,ф 90 stomana,2,4090,0,4090,Стойчо,
9055,3,1/19/2017,43,ф 90 stomana,4,3260,0,3260,Стойчо,
9056,1,1/19/2017,73,ф 90 stomana,7,2980,0,2980,Александър,
9057,2,1/19/2017,83,ф 90 stomana,8,2890,0,2890,Александър,
9058,3,1/19/2017,32,ф 90 cheshki,3,3130,0,3130,Александър,
9059,4,1/19/2017,62,ф 90 cheshki,6,3050,0,3050,Александър,
9060,1,1/20/2017,3,ф 30 ukraina,22,2990,0,2990,Саво,
9061,2,1/20/2017,1,ф 70 stomanaD,21,2100,0,2100,Саво,
9062,1,1/20/2017,35,ф 80 cheshki,3,3010,0,3010,Петко,
9063,1,1/20/2017,65,ф 80 cheshki,6,3010,0,3010,Петко,
9064,1,1/20/2017,43,ф 90 stomana,4,3040,0,3040,Момчил,
9065,2,1/20/2017,16,ф 80 stomana,1,3040,0,3040,Момчил,
9066,3,1/20/2017,26,ф 80 stomana,2,3040,0,3040,Момчил,
9067,4,1/20/2017,94,ф 80 polski,9,3100,0,3100,Момчил,
9068,5,1/20/2017,76,ф 80 stomana,7,3040,0,3040,Момчил,
9069,6,1/20/2017,54,ф 80 polski,5,3100,0,3100,Цветомир,
9070,7,1/20/2017,86,ф 80 stomana,8,3040,0,3040,Цветомир,
9071,8,1/20/2017,104,ф 80 polski,10,2090,0,2090,Цветомир,
9072,9,1/20/2017,114,ф 80 polski,11,2090,0,2090,Цветомир,
9073,1,1/21/2017,13,ф 90 stomana,1,3310,0,3310,Светльо,
9074,2,1/21/2017,23,ф 90 stomana,2,3230,0,3230,Светльо,
9075,3,1/21/2017,32,ф 90 cheshki,3,3230,0,3230,Светльо,
9076,4,1/21/2017,62,ф 90 cheshki,6,2920,0,2920,Светльо,
9077,1,1/21/2017,43,ф 90 stomana,4,3180,0,3180,Светльо,
9078,2,1/21/2017,73,ф 90 stomana,7,3250,0,3250,Светльо,
9079,3,1/21/2017,83,ф 90 stomana,8,3020,0,3020,Светльо,
9080,1,1/21/2017,51,ф 90 polski,5,3080,0,3080,Светльо,
9081,2,1/21/2017,91,ф 90 polski,9,3110,0,3110,Светльо,
9082,3,1/21/2017,101,ф 90 polski,10,3110,0,3110,Светльо,
9083,1,1/22/2017,13,ф 90 stomana,1,3060,0,3060,Мишо,
9084,2,1/22/2017,23,ф 90 stomana,2,3160,0,3160,Мишо,
9085,3,1/22/2017,43,ф 90 stomana,4,3450,0,3450,Мишо,
9086,4,1/22/2017,73,ф 90 stomana,7,3160,0,3160,Мишо,
9087,5,1/22/2017,83,ф 90 stomana,8,3460,0,3460,Мишо,
9088,6,1/22/2017,32,ф 90 cheshki,3,2330,0,2330,Мишо,
9089,7,1/22/2017,62,ф 90 cheshki,6,3290,0,3290,Мишо,
9090,8,1/22/2017,91,ф 90 polski,9,5050,0,5750,Мишо,
9091,9,1/22/2017,51,ф 90 polski,5,3020,0,3720,Мишо,
9092,10,1/22/2017,101,ф 90 polski,10,3070,0,3070,Мишо,
9093,11,1/22/2017,111,ф 90 polski,11,2060,0,2060,Мишо,
9094,1,1/23/2017,1,ф 70 stomanaD,21,2020,0,2020,Саво,
9095,2,1/23/2017,3,ф 30 ukraina,22,2010,0,2010,Саво,
9096,1,1/23/2017,13,ф 90 stomana,1,3000,0,3000,Красимир,
9097,2,1/23/2017,23,ф 90 stomana,2,3060,0,3060,Красимир,
9098,3,1/23/2017,43,ф 90 stomana,4,3100,0,3100,Красимир,
9099,4,1/23/2017,73,ф 90 stomana,7,3080,0,3080,Красимир,
9100,5,1/23/2017,83,ф 90 stomana,8,3130,0,3130,Красимир,
9101,6,1/23/2017,32,ф 90 cheshki,3,2960,0,2960,Красимир,
9102,7,1/23/2017,62,ф 90 cheshki,6,3000,0,3000,Красимир,
9103,8,1/23/2017,51,ф 90 polski,5,3090,0,3090,Красимир,
9104,9,1/23/2017,101,ф 90 polski,10,3080,0,3080,Красимир,
9105,10,1/23/2017,91,ф 90 polski,9,3080,0,3080,Красимир,
9106,1,1/24/2017,16,ф 80 stomana,1,3050,0,3050,Касерес,
9107,2,1/24/2017,26,ф 80 stomana,2,3090,0,3090,Касерес,
9108,3,1/24/2017,76,ф 80 stomana,7,3060,0,3060,Касерес,
9109,4,1/24/2017,86,ф 80 stomana,8,3040,0,3040,Касерес,
9110,5,1/24/2017,35,ф 80 cheshki,3,2050,0,2050,Касерес,
9111,6,1/24/2017,104,ф 80 polski,10,2030,0,2030,Касерес,
9113,8,1/24/2017,43,ф 90 stomana,4,2770,0,2770,Касерес,
9114,5,1/24/2017,114,ф 80 polski,5,3140,0,3140,Касерес,
9115,6,1/24/2017,35,ф 80 cheshki,6,1990,0,1990,Касерес,
9116,6,1/25/2017,104,ф 80 polski,10,2050,0,2050,Мишо,
9117,1,1/25/2017,13,ф 90 stomana,1,3370,0,3370,Мишо,
9118,2,1/25/2017,23,ф 90 stomana,2,3070,0,3070,Мишо,
9119,3,1/25/2017,43,ф 90 stomana,4,3280,0,3280,Мишо,
9120,1,1/25/2017,83,ф 90 stomana,8,3370,0,3370,Мишо,
9121,2,1/25/2017,32,ф 90 cheshki,3,2070,0,2070,Мишо,
9122,3,1/25/2017,62,ф 90 cheshki,6,1960,0,1960,Мишо,
9123,3,1/25/2017,73,ф 90 stomana,7,3060,0,3060,Мишо,
9124,1,1/25/2017,51,ф 90 polski,5,3100,0,3100,Цветомир,
9125,1,1/26/2017,13,ф 90 stomana,1,3240,0,3240,иван,
9126,2,1/26/2017,23,ф 90 stomana,2,2940,0,2940,иван,
9127,3,1/26/2017,43,ф 90 stomana,4,3310,0,3310,иван,
9128,1,1/26/2017,73,ф 90 stomana,7,3150,0,3150,Иван,
9129,2,1/26/2017,83,ф 90 stomana,8,3150,0,3150,Иван,
9130,3,1/26/2017,32,ф 90 cheshki,3,3140,0,3140,Иван,
9131,4,1/26/2017,62,ф 90 cheshki,6,3150,0,3150,Иван,
9132,5,1/26/2017,51,ф 90 polski,5,3110,0,3110,Иван,
9133,6,1/26/2017,101,ф 90 polski,10,2080,0,2080,Иван,
9134,1,1/27/2017,43,ф 90 stomana,4,3260,0,3260,Валентин,
9135,1,1/27/2017,3,ф 30 ukraina,22,3020,0,3020,Саво,
9136,2,1/27/2017,1,ф 70 stomanaD,21,2440,0,2440,Саво,
9137,2,1/27/2017,91,ф 90 polski,9,3100,0,3100,Валентин,
9138,3,1/27/2017,35,ф 80 cheshki,3,2040,0,2040,Валентин,
9139,4,1/27/2017,65,ф 80 cheshki,6,2020,0,2020,Валентин,
9140,5,1/27/2017,54,ф 80 polski,5,3080,0,3080,Валентин,
9141,6,1/27/2017,94,ф 80 polski,9,3090,0,3090,Валентин,
9142,7,1/27/2017,104,ф 80 polski,10,2060,0,2060,Валентин,
9143,8,1/27/2017,114,ф 80 polski,11,2070,0,2070,Валентин,
9144,1,1/27/2017,16,ф 80 stomana,1,3000,0,3000,Валентин,
9145,2,1/27/2017,26,ф 80 stomana,2,3150,0,3150,Валентин,
9146,3,1/27/2017,76,ф 80 stomana,7,3100,0,3100,Валентин,
9147,4,1/27/2017,86,ф 80 stomana,8,3130,0,3130,Валентин,
9148,1,1/28/2017,13,ф 90 stomana,1,3050,0,3050,Христо,
9149,2,1/28/2017,23,ф 90 stomana,2,3170,0,3170,Христо,
9150,3,1/28/2017,43,ф 90 stomana,4,3360,0,3360,Христо,
9151,1,1/28/2017,32,ф 90 cheshki,3,3300,0,3300,Христо,
9152,2,1/28/2017,62,ф 90 cheshki,6,3130,0,3130,Христо,
9153,3,1/28/2017,73,ф 90 stomana,7,2380,0,2380,Христо,
9154,1,1/28/2017,83,ф 90 stomana,8,2110,0,2110,Христо,
9155,2,1/28/2017,51,ф 90 polski,5,3070,0,3070,Христо,
9156,1,1/28/2017,91,ф 90 polski,9,4100,0,4100,Христо,
9157,2,1/28/2017,101,ф 90 polski,10,3060,0,3060,Христо,
9158,1,1/29/2017,13,ф 90 stomana,1,3020,0,3020,Momchil,
9159,2,1/29/2017,23,ф 90 stomana,2,3050,0,3050,Momchil,
9160,3,1/29/2017,43,ф 90 stomana,4,2920,0,2920,Momchil,
9161,4,1/29/2017,73,ф 90 stomana,7,3230,0,3230,Momchil,
9162,5,1/29/2017,83,ф 90 stomana,8,3120,0,3120,Momchil,
9163,6,1/29/2017,32,ф 90 cheshki,3,2030,0,2030,Momchil,
9164,7,1/29/2017,62,ф 90 cheshki,6,2200,0,2200,Momchil,
9165,1,1/29/2017,91,ф 90 polski,9,2940,0,2940,Николай,
9166,1,1/30/2017,1,ф 70 stomanaD,21,2050,0,2050,Иван,
9167,2,1/30/2017,3,ф 30 ukraina,22,1010,0,1010,Иван,
9168,2,1/30/2017,51,ф 90 polski,5,5680,0,5680,Иван,
9169,2,1/30/2017,91,ф 90 polski,9,3120,0,3120,Иван,
9170,3,1/30/2017,91,ф 90 polski,9,3120,0,3120,Иван,
9172,2,1/30/2017,32,ф 90 cheshki,3,2940,0,2940,Иван,
9173,3,1/30/2017,62,ф 90 cheshki,6,2940,0,2940,Иван,
9174,4,1/30/2017,13,ф 90 stomana,1,2030,0,2030,Иван,
9175,5,1/30/2017,23,ф 90 stomana,2,2280,0,2280,Иван,
9176,6,1/30/2017,43,ф 90 stomana,4,2060,0,2060,Иван,
9177,1,1/30/2017,111,ф 90 polski,11,2080,0,2080,Стойчо,
9178,1,1/30/2017,73,ф 90 stomana,7,2090,0,2090,Мишо,
9179,2,1/30/2017,83,ф 90 stomana,8,2350,0,2350,Мишо,
9180,1,1/31/2017,43,ф 90 stomana,4,2180,0,2180,Илиев,
9181,2,1/31/2017,16,ф 80 stomana,1,3120,0,3120,Илиев,
9182,3,1/31/2017,26,ф 80 stomana,2,3030,0,3030,Илиев,
9183,4,1/31/2017,76,ф 80 stomana,7,3100,0,3100,Илиев,
9184,5,1/31/2017,86,ф 80 stomana,8,3170,0,3170,Илиев,
9185,6,1/31/2017,35,ф 80 cheshki,3,3050,0,3050,Илиев,
9186,7,1/31/2017,65,ф 80 cheshki,6,3010,0,3010,Илиев,
9187,1,1/31/2017,54,ф 80 polski,5,3090,0,3090,Илиев,
9188,2,1/31/2017,94,ф 80 polski,9,3090,0,3090,Илиев,
9189,3,1/31/2017,104,ф 80 polski,10,2060,0,2060,Илиев,
9190,1,2/1/2017,101,ф 90 polski,10,3120,0,3120,Михайлов,
9191,2,2/1/2017,51,ф 90 polski,5,3120,0,3120,Михайлов,
9192,3,2/1/2017,91,ф 90 polski,9,3110,0,3110,Михайлов,
9193,1,2/1/2017,83,ф 90 stomana,8,3120,0,3120,Михайлов,
9194,2,2/1/2017,73,ф 90 stomana,7,3100,0,3100,Михайлов,
9195,3,2/1/2017,62,ф 90 cheshki,6,3210,0,3210,Михайлов,
9196,4,2/1/2017,43,ф 90 stomana,4,3220,0,3220,Михайлов,
9197,5,2/1/2017,32,ф 90 cheshki,3,3120,0,3120,Михайлов,
9198,6,2/1/2017,23,ф 90 stomana,2,3100,0,3100,Михайлов,
9199,7,2/1/2017,13,ф 90 stomana,1,3020,0,3020,Михайлов,
9200,8,2/2/2017,13,ф 90 stomana,1,2940,0,2940,Михайлов,
9201,9,2/2/2017,23,ф 90 stomana,2,3080,0,3080,Михайлов,
9202,10,2/2/2017,32,ф 90 cheshki,3,2150,0,2150,Михайлов,
9203,11,2/2/2017,43,ф 90 stomana,4,3000,0,3000,Михайлов,
9204,12,2/2/2017,62,ф 90 cheshki,6,2350,0,2350,Михайлов,
9205,13,2/2/2017,73,ф 90 stomana,7,2920,0,2920,Михайлов,
9206,14,2/2/2017,83,ф 90 stomana,8,2970,0,2970,Михайлов,
9207,1,2/2/2017,51,ф 90 polski,5,3130,0,3130,Михайлов,
9208,2,2/2/2017,101,ф 90 polski,10,3110,0,3110,Михайлов,
9209,3,2/2/2017,91,ф 90 polski,9,3120,0,3120,Михайлов,
9210,3,2/3/2017,3,ф 30 ukraina,22,3020,0,3020,Георги,
9211,4,2/3/2017,1,ф 70 stomanaD,21,2260,0,2260,Георги,
9212,1,2/3/2017,43,ф 90 stomana,4,2920,0,2920,Momchil,
9213,2,2/3/2017,16,ф 80 stomana,1,3100,0,3100,Momchil,
9214,3,2/3/2017,26,ф 80 stomana,2,3120,0,3120,Momchil,
9215,4,2/3/2017,76,ф 80 stomana,7,3100,0,3100,Momchil,
9216,5,2/3/2017,86,ф 80 stomana,8,3140,0,3140,Momchil,
9217,6,2/3/2017,35,ф 80 cheshki,3,3050,0,3050,Momchil,
9218,7,2/3/2017,65,ф 80 cheshki,6,3050,0,3050,Momchil,
9219,8,2/3/2017,54,ф 80 polski,5,3050,0,3050,Momchil,
9220,9,2/3/2017,94,ф 80 polski,9,3050,0,3050,Momchil,
9221,10,2/3/2017,104,ф 80 polski,10,2100,0,2100,Момчил,
9222,11,2/3/2017,114,ф 80 polski,11,2080,0,2080,Момчил,
9223,1,2/4/2017,13,ф 90 stomana,1,2950,0,2950,Стойчо,
9224,2,2/4/2017,23,ф 90 stomana,2,3010,0,3010,Стойчо,
9225,1,2/4/2017,43,ф 90 stomana,4,3030,0,3030,Стойчо,
9226,2,2/4/2017,73,ф 90 stomana,7,3000,0,3000,Стойчо,
9227,3,2/4/2017,83,ф 90 stomana,8,1990,0,1990,Стойчо,
9228,1,2/4/2017,32,ф 90 cheshki,3,3030,0,3030,Стойчо,
9229,2,2/4/2017,62,ф 90 cheshki,6,3090,0,3090,Стойчо,
9230,3,2/4/2017,51,ф 90 polski,5,3080,0,3080,Стойчо,
9231,4,2/4/2017,91,ф 90 polski,9,3120,0,3120,Стойчо,
9232,5,2/4/2017,101,ф 90 polski,10,3100,0,3100,Стойчо,
9233,1,2/5/2017,13,ф 90 stomana,1,3080,0,3080,Светлин,
9234,2,2/5/2017,23,ф 90 stomana,2,3030,0,3030,Светлин,
9235,3,2/5/2017,43,ф 90 stomana,4,3230,0,3230,Светлин,
9236,1,2/5/2017,73,ф 90 stomana,7,2890,0,2890,Светлин,
9237,2,2/5/2017,83,ф 90 stomana,8,3070,0,3070,Светлин,
9238,3,2/5/2017,32,ф 90 cheshki,3,2890,0,2890,Светлин,
9239,4,2/5/2017,62,ф 90 cheshki,6,3040,0,3040,Светлин,
9240,5,2/5/2017,51,ф 90 polski,5,2980,0,2980,Светлин,
9241,6,2/5/2017,91,ф 90 polski,9,3010,0,3010,Светлин,
